备急千金要方	一
禁温疫时行第七	二一八一
禁疟病第八	二一八四
禁疮肿第九	二一八七
禁喉痹第十	二一九一
咒禁产运第十一	二一九三
卷第三十　禁经下	二一九五
禁金疮第十二	二一九五
禁蛊毒第十三	二一九八
禁遁注第十四	二一九九
禁邪病第十五	二二〇二
禁恶兽虎狼第十六	二二〇四
禁蛇毒第十七	二二〇四
禁蝎蜂第十八	二二〇六
禁狗鼠第十九	二二〇八
护身禁法第二十	二二一二
禁贼盗第二十一	二二一五
咒童子令说鬼姓字第二十二	二二一六
